許可證字號,類別,中文品名,核可日期,申請商,證況,保健功效相關成分,保健功效,保健功效宣稱,警語,注意事項,網址
衛署健食字第A00073號,衛署健食字,統一四物雞精,2005/10/20,統一企業股份有限公司,核可,甲肌肽(ANSERINE)：218~300 毫克/瓶 (60 毫升)肌 肽(CARNOSINE)：48~ 68 毫克/瓶 (60 毫升),抗疲勞,經動物實驗結果，可改善血液中尿素氮與乳酸代謝，具有延緩疲勞發生之功效,支鏈有機酸尿症（例如楓糖尿症）患者應避免食用。,1. 本產品供保健用，請依建議攝取量食用。2. 請洽詢醫師或營養師有關食用本品之意見，尤其是患有糖尿病及腎臟病者 ; 均衡的飲食及適當的運動為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=68
衛署健食字第A00074號(本證失效),衛署健食字,御茶園每朝健康綠茶,2005/11/01,維他露食品股份有限公司,併証,1.兒茶素(catechins) 2. 菊苣纖維(inulin),胃腸功能改善,有助於增加腸內益生菌。,警語：本品含有菊苣纖維，飲用後會促進腸道蠕動，並產生脹氣及排氣等現象，若有不適者，請停止飲用。,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=399
衛署健食字第A00075號(本證失效),衛署健食字,賜多利奶粉,2005/11/01,連法國際實業股份有限公司,併証,總免疫球蛋白G、 特定免疫球蛋白G,免疫調節,經動物實驗結果證實，食用本產品有助於： 1. 促進吞噬細胞活性。 2. 促進自然殺手細胞活性。,對牛乳過敏者不適用。乳糖不耐者請遵詢專業醫事人員建議飲用。輕微乳糖不耐者可每次減量飲用，待適應後再逐漸增量。,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=69
衛署健食字第A00083號,衛署健食字,白蘭氏五味子芝麻錠,2006/08/08,馬來西亞商三得利食品飲料股份有限公司台灣分公司,核可,芝麻素 (Sesamin)、五味子素B (Schisandrin B),護肝,「根據動物試驗結果，對四氯化碳誘發之大鼠肝臟損傷，有助於降低血清中GOT和GPT值」。,1. 內附乾燥劑，請勿食用。2. 體質特殊、懷孕及授乳中婦女，請諮詢專業人士後食用。3. 均衡營養與適當運動為身體健康的基礎。,1. 內附乾燥劑，請勿食用。2. 均衡營養與適當運動為身體健康的基礎。3. 本產品非藥品，供保健用，罹病者仍需就醫。4. 請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=77
衛署健食字第A00084號(本證失效),衛署健食字,養生茶,2006/09/04,台灣可爾必思股份有限公司,失效,難消化性麥芽糊精,調節血脂,「可降低血中三酸甘油酯」,,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=78
衛署健食字第A00085號(本證失效),衛署健食字,統一植醇牛奶,2006/09/28,統一企業股份有限公司,失效,植物固醇,調節血脂,「經動物實驗證實：可降低血中總膽固醇。」,,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=79
衛署健食字第A00086號,衛署健食字,愛之味蕃茄汁(強化膳食纖維),2006/10/27,愛之味股份有限公司,核可,難消化性麥芽糊精 (Resistant Maltodextrin),調節血脂,經動物實驗結果：有助於降低血中總膽固醇。,本產品含難消化性麥芽糊精，食用後可能產生排氣或脹氣現象，若有不適者，請停止食用。,(1) 請洽詢醫師或營養師有關食用本產品之意見。(2) 均衡的飲食及適當的運動為身體健康之基礎。(3) 本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=80
衛署健食字第A00087號(本證失效),衛署健食字,震達北蟲草(蛹蟲草)膠囊,2006/11/01,優生製藥廠股份有限公司,失效,品質管制指標成分 Adenosine Cordycepin,,根據動物試驗結果，對四氯化碳誘發大鼠肝臟的損傷，可降低血清中GPT值。,,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=81
衛署健食字第A00088號(本證失效),衛署健食字,葡萄王益菌王,2007/01/05,葡萄王生技股份有限公司,廢止,總乳酸菌、比菲德氏菌（B. longum）,胃腸功能改善,「有助於增加腸內益生菌」。,,本品含有牛奶製品，過敏體質、服用藥物或懷孕及授乳期間，請在食用本產品前，先洽詢醫師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=76
衛署健食字第A00089號,衛署健食字,愛之味春心茶,2007/02/15,愛之味股份有限公司,核可,兒茶素(Catechins),調節血脂功能,經人體食用研究結果：(1) 有助於增加血中高密度脂蛋白膽固醇。(2) 有助於延緩低密度脂蛋白之氧化。(3) 有助於減少發生動脈粥狀硬化的危險因子。,,請洽詢醫師或營養師有關食用本產品之意見；均衡的飲食及適當的運動為身體健康之基礎。本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=82
衛署健食字第A00090號,衛署健食字,統一陽光山藥薏仁高纖豆奶,2007/04/02,統一企業股份有限公司,核可,黃豆蛋白質;菊糖,調節血脂功能,1. 有助於降低血中總膽固醇。 2. 有助於降低血中三酸甘油酯。3. 有助於降低血中低密度脂蛋白膽固醇。4. 有助於減少發生心血管疾病的危險因子。,1. 肝及腎功能不佳者，請洽詢醫師或營養師有關食用本品之意見。2. 本產品含薏仁，懷孕或計劃生育婦女請謹慎食用。3. 本品含有菊苣纖維，飲用後會促進腸道蠕動，並產生脹氣及排氣等現象，若有不適者，請停止飲用。,黑色沉澱為薏仁胚臍屬正常現象，飲用前請先搖勻。本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=83
衛署健食字第A00091號,衛署健食字,活靈芝菌絲體滋補液,2007/03/30,佳格食品股份有限公司,核可,靈芝粗多醣,免疫調節功能,根據動物及體外試驗結果，有助於促進吞噬細胞活性。,,1. 請洽詢醫師或營養師有關於食用本產品之意見；均衡的飲食及適當的運動為身體健康的基礎。2. 本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=84
衛署健食字第A00092號,衛署健食字,元氣豆®納豆萃取膠囊,2007/04/09,懷特生技新藥股份有限公司,核可,以HMG-COA還原酵素抑制劑-Monacolin K作為品管指標成份， 每粒軟膠囊含量大於0.15mg。,調節血脂功能,經人體食用研究結果：(1)有助於降低血中總膽固醇。(2)有助於降低血中低密度脂蛋白膽固醇。(3)有助於減少發生心血管疾病的危險因子。,1.手術前後、糖尿病或妊娠糖尿病病人及幼童，不宜食用。2.使用本品如有任何不適，請立即停止食用，並洽詢醫師。3.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。4.是否適用於膽固醇之控制，應先徵詢醫師。 5.懷孕及授乳期間請勿食用。6.本品與降血脂藥(statin 及 fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的 飲食及適當的運動為身體健康之基礎。2.為確保產品活性，不宜與果汁、醋等酸性物質一起食用。3. 本產品非藥品，供保健用，罹病者仍需就醫。4. 請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=85
衛署健食字第A00093號,衛署健食字,健康好理由植醇葵花油,2007/04/15,泰山企業股份有限公司,核可,植物固醇,調節血脂功能,經動物實驗結果，有助於降低血中總膽固醇。,1.三少（少鹽、少糖、少油）的飲食原則，有助身體健康。 2.本品為一般食用油，係供調理使用；非為膳食補充品，不宜直接食用。 3.請依使用方式及建議攝取量調理，多食無益。,本產品供保健用，請依建議攝取量食用。請洽詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=86
衛署健食字第A00094號(本證失效),衛署健食字,木糖醇+2無糖口香糖-蘋果薄荷,2007/04/18,台灣樂天製菓股份有限公司,失效,木糖醇,牙齒保健,（1）有助於減少口腔內的牙菌斑；（2）有助於減少牙菌斑內突變形鏈球菌數量(Streptococcus mutans)；（3）有助於降低蛀牙的發生率。,警語：「1. 少吃甜食，維持口腔衛生是防止蛀牙的最基本要素；2. 幼童食用本產品時請特別小心，切勿將其吞食；3. 食用本品如有任何過敏及不適，請立即停止食用。」,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=87
衛署健食字第A00095號(本證失效),衛署健食字,木糖醇+2無糖口香糖-清涼薄荷,2007/04/18,台灣樂天製菓股份有限公司,失效,木糖醇,牙齒保健,（1）有助於減少口腔內的牙菌斑；（2）有助於減少牙菌斑內突變形鏈球菌數量(Streptococcus mutans)；（3）有助於降低蛀牙的發生率。,警語：「1. 少吃甜食，維持口腔衛生是防止蛀牙的最基本要素；2. 幼童食用本產品時請特別小心，切勿將其吞食；3. 食用本品如有任何過敏及不適，請立即停止食用。」,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=88
衛署健食字第A00096號(本證失效),衛署健食字,可爾必思發酵乳 (安益乳),2007/05/10,台灣可爾必思股份有限公司,失效,"「乳三胜」(VPP,IPP)",輔助調節血壓,「有助於延緩血壓上升」,,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=400
衛署健食字第A00097號(本證失效),衛署健食字,舒甘調達食品膠囊,2007/06/10,宇力鑫生技股份有限公司,失效,薑黃素、甘草素,,「根據動物試驗結果，對四氯化碳誘發之大鼠肝臟損傷，有助於降低血清中GOT(AST)和GPT(ALT)值」,1.GOT、GPT持續異常升高可能是肝病變所引起，應立即就醫；2.本品含甘草素，可能與藥物產生交互作用，需服用其他藥物時，應請教醫師或藥師；3.本產品請勿長期或大量食用；4.孕婦忌食；5.血鉀過低或高血壓患者不宜食用。,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=90
衛署健食字第A00098號,衛署健食字,台糖果寡醣,2007/06/12,台灣糖業股份有限公司,核可,果寡醣（1-kestose＋Nystose計）,胃腸功能改善,經動物實驗結果，有助於增加腸內益生菌,(1)腸躁症及糖尿病患者食用前請先洽詢醫師或營養師；(2)本產品含果寡醣成分，食用後可能產生排氣與脹氣現象，若有不適者，請停止食用。(3)多食無益。,(1)本產品供保健用，請依建議攝取量食用。(2)請洽詢醫師或營養師有關食用本品之意見;均衡的飲食及適當的運動為身體健康之基礎。(3)糖尿病患者請酌量使用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=89
衛署健食字第A00099號,衛署健食字,成長奶粉健康三益菌配方,2007/07/01,佳格食品股份有限公司,核可,1.總乳酸菌（含A菌與C菌） A菌：Lactobacillus acidophilus C菌：Lactobacillus casei 2.比菲德氏菌（B菌） B菌：Bifidobacterium lactis,胃腸功能改善,經人體食用研究結果，有助於：(1)增加腸內益菌。 (2)減少腸內害菌(Clostridium perfringens)。 (3)改善腸內細菌菌相。,,1. 請洽詢醫師或營養師有關於食用本產品之意見，均衡的飲食及適當的運動為身體健康的基礎。2. 本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=199
衛署健食字第A00100號,衛署健食字,益力蔘膠囊,2007/07/05,信東生技股份有限公司園區分公司,核可,每顆膠囊含總人蔘配醣體 Total Ginsenosides (以Re、Rb1、Rc、Rd總和計算),抗疲勞功能,經人體食用研究結果：可加速運動後恢復期血乳酸及血氨濃度下降，有助於增進運動後疲勞的消除。,請勿超過建議用量，如有不適產生應立即停止食用並就醫。病患服藥期間不建議同時食用本產品。,＊產品包裝不全請勿食用。＊請洽詢醫師或營養師有關食用本品的意見，注意均衡飲食及適當的運動及充分的休息是維持健康的基礎。＊本產品非藥品，供保健用，罹病者仍需就醫。＊請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=92
衛署健食字第A00101號,衛署健食字,綠寶綠藻片,2007/07/15,台灣綠藻工業股份有限公司,核可,免疫調節：葉綠素為品管指標調節血糖：α-次亞麻油酸,"調節血糖, 免疫調節",(一)免疫調節「根據動物試驗結果具有下列功效：（1）有助於促進免疫細胞之增生能力。（2）有助於促進血清IgG抗體之生成。」(二)調節血糖「經人體食用研究結果：本產品對禁食(空腹)血糖值偏高者，具輔助調節作用。」,1.本產品不具第一型糖尿病患者之血糖調節作用。2.食用本產品僅輔助調節血糖，請勿擅自停藥。,1.本產品非藥品，供保健用，罹病者仍需就醫。2.請依建議攝取量食用，勿過量。3.請洽詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=91
衛署健食字第A00102號,衛署健食字,杏輝敏益苓膠囊,2007/07/10,杏輝藥品工業股份有限公司,核可,羊毛蘭烷三萜類 Lanostanes,"輔助調整過敏體質, 免疫調節",(一)免疫調節：經動物及體外實驗結果：(1)有助於促進細胞免疫能力。(2)有助於促進強化自然殺手細胞活性。(二)輔助調整過敏體質：經動物實驗結果：(1)有助於減少主導第一型過敏反應IgE抗體生成。(2)有助於調節細胞激素分泌。,有過敏體質或自體免疫疾病者，請洽詢醫師意見小心使用。,1.請置於乾燥陰涼通風處，避免陽光直射，同時置放於孩童無法拿取處。2.若正值懷孕、哺乳或藥物治療等情況，請先洽詢醫師或營養師意見，再決定是否食用。3.均衡的飲食及適當的運動為身體健康之基礎。4.本產品非藥品，供保健用，罹病者仍需就醫。 5.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=93
